ADM0_NAME,ADM1_NAME,Shape_Area,Shape_Leng,Year,night_light_mean,.geo,ndvi_mean,popu_dense_mean
Bangladesh,Dhaka,2.748843847,12.2261667538,2018,0.9291233832508832,Polygon,0.2239449716827695,1477.915378017038
Bangladesh,Dhaka,2.748843847,12.2261667538,2019,0.9016609480932564,Polygon,0.2260531443500846,1510.9563095895464
Bangladesh,Dhaka,2.748843847,12.2261667538,2020,0.8796118114491425,Polygon,0.2119934336855042,1544.8653244930051
Bangladesh,Dhaka,2.748843847,12.2261667538,2021,0.9903046762148237,Polygon,0.2265127191258365,1577.3813408209826
Bangladesh,Dhaka,2.748843847,12.2261667538,2022,1.1380907416918378,Polygon,0.222546605441282,1610.3677482460625
Bangladesh,Dhaka,2.748843847,12.2261667538,2023,1.1948053048689744,Polygon,0.2263757119669786,1643.354155671128
Bangladesh,Dhaka,2.748843847,12.2261667538,2024,1.2769507654017904,Polygon,0.2268894322837813,1676.340563096208
Bangladesh,Khulna,1.8011062647,41.1557894,2017,0.4504042094789772,MultiPolygon,0.2156718144180427,674.4935986719855
Bangladesh,Khulna,1.8011062647,41.1557894,2018,0.4916204738487846,MultiPolygon,0.2097998292696739,679.2256834288373
Bangladesh,Khulna,1.8011062647,41.1557894,2019,0.4615670049107181,MultiPolygon,0.2149289367371847,684.4275593600735
Bangladesh,Khulna,1.8011062647,41.1557894,2020,0.4874527727675691,MultiPolygon,0.2130121497944254,688.7085728963827
Bangladesh,Khulna,1.8011062647,41.1557894,2021,0.5337618528780659,MultiPolygon,0.2066766476308485,693.6755532404259
Bangladesh,Khulna,1.8011062647,41.1557894,2022,0.5928618014551423,MultiPolygon,0.2262090862186363,698.46023310087
Bangladesh,Khulna,1.8011062647,41.1557894,2023,0.6721700981914076,MultiPolygon,0.2165857563561684,703.2449129613124
Bangladesh,Khulna,1.8011062647,41.1557894,2024,0.7200732951520114,MultiPolygon,0.2213740893729812,708.0295928217547
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2017,0.577592883755281,Polygon,0.2050055937470639,932.804957978606
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2018,0.6067476744405218,Polygon,0.2201765811184495,944.300968803728
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2019,0.5520180815565868,Polygon,0.2257441745909064,956.0261550713196
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2020,0.5550919429850225,Polygon,0.2140508848587002,967.7443061991476
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2021,0.6209870119677929,Polygon,0.2176986211976724,979.3549047455053
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2022,0.6781377482199378,Polygon,0.2234184866439614,991.0092278384254
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2023,0.7468211431750937,Polygon,0.2175948087983263,1002.6635509313455
Bangladesh,Rajshahi,1.62206591426,7.53403270694,2024,0.772161572203466,Polygon,0.2285635995361927,1014.3178740242693
Bangladesh,Rangpur,1.45824660587,9.88140143637,2017,0.5557462318432302,Polygon,0.2216918463195191,837.8707748921047
Bangladesh,Rangpur,1.45824660587,9.88140143637,2018,0.5789435614147294,Polygon,0.2152711842034326,848.657637527252
Bangladesh,Rangpur,1.45824660587,9.88140143637,2019,0.5589673545686561,Polygon,0.229552855302337,859.9838424637851
Bangladesh,Rangpur,1.45824660587,9.88140143637,2020,0.5767070048849082,Polygon,0.2173549969200723,870.2347126975641
Bangladesh,Rangpur,1.45824660587,9.88140143637,2021,0.6295436429005928,Polygon,0.2143503041619858,881.2912464834044
Bangladesh,Rangpur,1.45824660587,9.88140143637,2022,0.6601142724796227,Polygon,0.2208430461963321,892.1330483186939
Bangladesh,Rangpur,1.45824660587,9.88140143637,2023,0.7695437104254832,Polygon,0.2252520293496665,902.9748501539871
Bangladesh,Rangpur,1.45824660587,9.88140143637,2024,0.7998985142075486,Polygon,0.2336044708034339,913.8166519892766
Bangladesh,Sylhet,1.09488529889,7.67346384723,2017,0.5054222605091672,Polygon,0.1882037740725342,736.887133429951
Bangladesh,Sylhet,1.09488529889,7.67346384723,2018,0.5581344754329636,Polygon,0.2038508733128824,753.3494505455893
